timestamp,ir,red,time_delta
25,225471,208867,0.0
50,226167,208949,0.025
75,226212,208730,0.05
100,226171,208121,0.075
125,225759,208913,0.1
150,226630,208976,0.125
175,226253,208874,0.15
200,225875,207950,0.175
225,225063,208608,0.2
250,225417,208462,0.225
275,225246,208377,0.25
300,225336,207739,0.275
325,224820,208631,0.3
350,225507,208630,0.325
375,225639,208598,0.35
400,225556,207997,0.375
425,224981,208759,0.4
450,225833,208681,0.425
475,225921,208626,0.45
500,225889,208076,0.475
525,225418,208835,0.5
550,226078,208809,0.525
575,226078,208758,0.55
600,225930,208058,0.575
625,225501,208855,0.6
650,226203,208891,0.625
675,226059,208818,0.65
700,226034,208148,0.675
725,225624,209015,0.7
750,226285,208899,0.725
775,226374,208947,0.75
800,226251,208205,0.775
825,225699,208973,0.8
850,226457,208999,0.825
875,226415,208946,0.85
900,226405,208359,0.875
925,225805,209077,0.9
950,226606,209071,0.925
975,226539,208954,0.95
1000,226487,208345,0.975
1025,226016,209142,1.0
1050,226717,209086,1.025
1075,226641,208929,1.05
1100,226727,208361,1.075
1125,226133,209112,1.1
1150,226843,208978,1.125
1175,226869,208977,1.15
1200,226742,208421,1.175
1225,226234,209209,1.2
1250,226633,208931,1.225
1275,226122,208755,1.25
1300,225877,208025,1.275
1325,225254,208902,1.3
1350,225979,208797,1.325
1375,225853,208736,1.35
1400,225898,208133,1.375
1425,225434,208943,1.4
1450,226055,208771,1.425
1475,226051,208745,1.45
1500,225915,208083,1.475
1525,225469,208920,1.5
1550,226321,208816,1.525
1575,226203,208748,1.55
1600,226013,208237,1.575
1625,225694,208956,1.6
1650,226486,208771,1.625
1675,226178,208768,1.65
1700,226272,208322,1.675
1725,225710,208979,1.7
1750,226616,208927,1.725
1775,226308,208857,1.75
1800,226291,208308,1.775
1825,225965,209066,1.8
1850,226770,208948,1.825
1875,226470,208777,1.85
1900,226285,208431,1.875
1925,226120,209077,1.9
1950,226746,209015,1.925
1975,226671,208908,1.95
2000,226383,208423,1.975
2025,226255,209153,2.0
2050,226975,208995,2.025
2075,226785,209018,2.05
2100,226468,208431,2.075
2125,226207,209128,2.1
2150,227056,209118,2.125
2175,226455,208875,2.15
2200,225820,208215,2.175
2225,225560,208967,2.2
2250,226036,208663,2.225
2275,225998,208680,2.25
2300,225679,208135,2.275
2325,225676,208981,2.3
2350,226435,208797,2.325
2375,226253,208759,2.35
2400,225846,208246,2.375
2425,225823,209008,2.4
2450,226542,208800,2.425
2475,226273,208672,2.45
2500,226021,208374,2.475
2525,225775,209129,2.5
2550,226543,208789,2.525
2575,226261,208692,2.55
2600,226067,208274,2.575
2625,225869,209082,2.6
2650,226704,208778,2.625
2675,226367,208705,2.65
2700,226135,208332,2.675
2725,226051,209012,2.7
2750,226770,208834,2.725
2775,226565,208751,2.75
2800,226346,208375,2.775
2825,226224,209139,2.8
2850,226839,208852,2.825
2875,226743,208612,2.85
2900,226379,208334,2.875
2925,226266,209150,2.9
2950,226795,208851,2.925
2975,226636,208624,2.95
3000,226317,208365,2.975
3025,226189,209117,3.0
3050,226888,208872,3.025
3075,226490,208630,3.05
3100,225826,208167,3.075
3125,225471,208880,3.1
3150,225741,208451,3.125
3175,225576,208252,3.15
3200,225168,208020,3.175
3225,225114,208620,3.2
3250,225854,208480,3.225
3275,225676,208180,3.25
3300,225361,208072,3.275
3325,225451,208714,3.3
3350,226125,208536,3.325
3375,225985,208257,3.35
3400,225678,208064,3.375
3425,225815,208986,3.4
3450,226242,208623,3.425
3475,226102,208293,3.45
3500,225872,208194,3.475
3525,225964,208857,3.5
3550,226506,208637,3.525
3575,226340,208440,3.55
3600,225920,208253,3.575
3625,225935,208888,3.6
3650,226544,208757,3.625
3675,226376,208332,3.65
3700,225968,208276,3.675
3725,226065,208849,3.7
3750,226586,208598,3.725
3775,226503,208348,3.75
3800,226044,208359,3.775
3825,226268,208861,3.8
3850,226763,208738,3.825
3875,226618,208442,3.85
3900,226297,208419,3.875
3925,226452,208944,3.9
3950,226891,208748,3.925
3975,226715,208456,3.95
4000,226300,208366,3.975
4025,226446,208924,4.0
4050,226548,208618,4.025
4075,226019,208140,4.05
4100,225262,208164,4.075
4125,225548,208643,4.1
4150,225882,208425,4.125
4175,225977,208153,4.15
4200,225556,208188,4.175
4225,225898,208669,4.2
4250,226251,208526,4.225
4275,226069,208117,4.25
4300,225773,208323,4.275
4325,226054,208740,4.3
4350,226407,208617,4.325
4375,226328,208233,4.35
4400,225888,208351,4.375
4425,226160,208700,4.4
4450,226367,208686,4.425
4475,226358,208146,4.45
4500,225900,208291,4.475
4525,226293,208806,4.5
4550,226522,208638,4.525
4575,226376,208137,4.55
4600,226098,208388,4.575
4625,226421,208765,4.6
4650,226750,208636,4.625
4675,226670,208209,4.65
4700,226163,208371,4.675
4725,226619,208726,4.7
4750,226833,208700,4.725
4775,226682,208343,4.75
4800,226215,208520,4.775
4825,226624,208825,4.8
4850,226709,208799,4.825
4875,226681,208340,4.85
4900,226220,208479,4.875
4925,226764,208865,4.9
4950,226815,208702,4.925
4975,226842,208280,4.95
5000,226353,208564,4.975
5025,226643,208695,5.0
5050,226422,208496,5.025
5075,226030,208015,5.05
5100,225265,208149,5.075
5125,225940,208421,5.1
5150,226067,208296,5.125
5175,226092,208038,5.15
5200,225707,208279,5.175
5225,226077,208572,5.2
5250,226354,208444,5.225
5275,226158,208074,5.25
5300,225807,208347,5.275
5325,226313,208687,5.3
5350,226389,208602,5.325
5375,226426,208111,5.35
5400,225797,208421,5.375
5425,226363,208731,5.4
5450,226459,208563,5.425
5475,226410,208121,5.45
5500,225972,208432,5.475
5525,226606,208671,5.5
5550,226656,208627,5.525
5575,226624,208204,5.55
5600,226158,208493,5.575
5625,226697,208750,5.6
5650,226837,208612,5.625
5675,226677,208168,5.65
5700,226277,208506,5.675
5725,226878,208701,5.7
5750,226912,208615,5.725
5775,226864,208191,5.75
5800,226266,208537,5.775
5825,226850,208766,5.8
5850,227006,208742,5.825
5875,226866,208262,5.85
5900,226461,208572,5.875
5925,226975,208829,5.9
5950,227034,208672,5.925
5975,226546,208065,5.95
6000,225685,208343,5.975
6025,226037,208392,6.0
6050,226035,208262,6.025
6075,226007,207870,6.05
6100,225466,208292,6.075
6125,226078,208402,6.1
6150,226198,208310,6.125
6175,226098,207925,6.15
6200,225469,208290,6.175
6225,226228,208479,6.2
6250,226459,208348,6.225
6275,226246,207966,6.25
6300,225708,208419,6.275
6325,226376,208439,6.3
6350,226572,208357,6.325
6375,226353,207929,6.35
