timestamp,ir,red,time_delta
25,111129,104766,0.0
50,111154,104773,0.025
75,111209,104799,0.05
100,111272,104839,0.075
125,111485,104925,0.1
150,111484,104891,0.125
175,111374,104843,0.15
200,111246,104800,0.175
225,111054,104726,0.2
250,111031,104692,0.225
275,110985,104656,0.25
300,111058,104678,0.275
325,111218,104760,0.3
350,111157,104737,0.325
375,111068,104676,0.35
400,110963,104661,0.375
425,110905,104621,0.4
450,110934,104628,0.425
475,111012,104662,0.45
500,111108,104728,0.475
525,111120,104672,0.5
550,111075,104674,0.525
575,111130,104711,0.55
600,111223,104733,0.575
625,110897,104577,0.6
650,110681,104474,0.625
675,110426,104351,0.65
700,110233,104281,0.675
725,110086,104260,0.7
750,110101,104270,0.725
775,110139,104284,0.75
800,110169,104297,0.775
825,110171,104288,0.8
850,110163,104308,0.825
875,110159,104286,0.85
900,110135,104284,0.875
925,110161,104263,0.9
950,110152,104252,0.925
975,110150,104256,0.95
1000,110169,104285,0.975
1025,110285,104337,1.0
1050,110398,104366,1.025
1075,110483,104394,1.05
1100,110571,104448,1.075
1125,110786,104572,1.1
1150,110962,104623,1.125
1175,111039,104628,1.15
1200,111053,104601,1.175
1225,110942,104553,1.2
1250,110946,104567,1.225
1275,111013,104599,1.25
1300,111106,104256,1.275
1325,111136,104607,1.3
1350,111078,104588,1.325
1375,111043,104556,1.35
1400,110993,104533,1.375
1425,110883,104464,1.4
1450,110845,104444,1.425
1475,110833,104442,1.45
1500,110866,104442,1.475
1525,110852,104448,1.5
1550,110803,104420,1.525
1575,110758,104404,1.55
1600,111080,104587,1.575
1625,111351,104707,1.6
1650,111423,104647,1.625
1675,110974,104407,1.65
1700,110170,104149,1.675
1725,110023,104107,1.7
1750,109979,104110,1.725
1775,109994,104117,1.75
1800,110076,104150,1.775
1825,110084,104147,1.8
1850,110084,104158,1.825
1875,110112,104171,1.85
1900,110204,104196,1.875
1925,110226,104189,1.9
1950,110234,104169,1.925
1975,110236,104195,1.95
2000,110339,104225,1.975
2025,110470,104264,2.0
2050,110613,104344,2.025
2075,110737,104401,2.05
2100,110945,104459,2.075
2125,111023,104475,2.1
2150,111137,104556,2.125
2175,111322,104645,2.15
2200,111581,104695,2.175
2225,111488,104644,2.2
2250,111343,104584,2.225
2275,111233,104528,2.25
2300,111176,104542,2.275
2325,111213,104546,2.3
2350,111237,104562,2.325
2375,111191,104514,2.35
2400,110941,104403,2.375
2425,110767,104342,2.4
2450,110664,104307,2.425
2475,110635,104311,2.45
2500,110733,104338,2.475
2525,110723,104315,2.5
2550,110703,104298,2.525
2575,110632,104290,2.55
2600,110198,104071,2.575
2625,110075,104032,2.6
2650,110034,104059,2.625
2675,110072,104090,2.65
2700,109991,104041,2.675
2725,109900,103979,2.7
2750,109783,103960,2.725
2775,109701,103915,2.75
2800,109738,103939,2.775
2825,109843,103994,2.8
2850,109953,104054,2.825
2875,110013,104056,2.85
2900,110032,104040,2.875
2925,110086,104055,2.9
2950,110174,104104,2.925
2975,110303,104147,2.95
3000,110747,104345,2.975
3025,111068,104466,3.0
3050,111309,104534,3.025
3075,111356,104537,3.05
3100,111392,104540,3.075
3125,111508,104594,3.1
3150,111647,104663,3.125
3175,111790,104736,3.15
3200,112010,104756,3.175
3225,111898,104706,3.2
3250,111682,104612,3.225
3275,111437,104518,3.25
3300,111135,104431,3.275
3325,111064,104420,3.3
3350,111019,104420,3.325
3375,111007,104398,3.35
3400,110846,104318,3.375
3425,110698,104266,3.4
3450,110559,104202,3.425
3475,110470,104159,3.45
3500,110189,104030,3.475
3525,109967,103963,3.5
3550,109818,103894,3.525
3575,109655,103832,3.55
3600,109431,103723,3.575
3625,109417,103737,3.6
3650,109470,103774,3.625
3675,109562,103820,3.65
3700,109552,103759,3.675
3725,109435,103737,3.7
3750,109392,103707,3.725
3775,109376,103707,3.75
3800,109394,103747,3.775
3825,109507,103782,3.8
3850,109599,103829,3.825
3875,109667,103841,3.85
3900,109787,103877,3.875
3925,109897,103938,3.9
3950,110076,104012,3.925
3975,110300,104097,3.95
4000,111009,104388,3.975
4025,111346,104500,4.0
4050,111579,104561,4.025
4075,111675,104563,4.05
4100,111516,104535,4.075
4125,111529,104537,4.1
4150,111510,104501,4.125
4175,111441,104490,4.15
4200,111687,104607,4.175
4225,111864,104646,4.2
4250,111906,104663,4.225
4275,111549,104469,4.25
4300,111147,104323,4.275
4325,110837,104216,4.3
4350,110889,104287,4.325
4375,111271,104407,4.35
4400,111066,104256,4.375
4425,110379,103957,4.4
4450,109791,103795,4.425
4475,109310,103649,4.45
4500,109214,103628,4.475
4525,109181,103609,4.5
4550,109173,103599,4.525
4575,109247,103638,4.55
4600,109258,103608,4.575
4625,109147,103549,4.6
4650,109011,103495,4.625
4675,109020,103556,4.65
4700,109182,103644,4.675
4725,109300,103659,4.7
4750,109281,103639,4.725
4775,109190,103607,4.75
4800,109247,103635,4.775
4825,109324,103668,4.8
4850,109382,103684,4.825
4875,109315,103693,4.85
4900,109355,103703,4.875
4925,109423,103725,4.9
4950,109534,103768,4.925
4975,109834,103930,4.95
5000,110160,104092,4.975
5025,110661,104268,5.0
5050,111132,104421,5.025
5075,111456,104513,5.05
5100,111458,104522,5.075
5125,111467,104523,5.1
5150,111440,104517,5.125
