Timestamp,IR Value,Red Value
10480,30185,30667
10560,30024,30609
10640,30026,30620
10720,30063,30651
10799,30067,30654
10879,30121,30693
10959,30217,30725
11039,30272,30729
11119,30315,30754
11199,30138,30649
11278,29964,30603
11358,29969,30622
11438,30027,30637
11518,30038,30625
11598,30080,30644
11678,30159,30690
11758,30239,30718
11837,30301,30765
11917,30372,30799
11997,30239,30658
12077,29958,30584
12157,29922,30583
12237,29957,30606
12316,29979,30626
12396,30025,30646
12476,30116,30667
12556,30177,30688
12636,30240,30724
12716,30316,30765
12795,30402,30802
12875,30224,30677
12955,29985,30606
13035,29947,30584
13115,29962,30583
13195,29961,30597
13274,30010,30622
13354,30099,30668
13434,30186,30699
13514,30253,30693
13594,30313,30725
13674,30382,30779
13753,30460,30800
13833,30117,30633
13913,30040,30618
13993,30042,30597
14073,30063,30608
14153,30074,30630
14233,30153,30671
14312,30259,30726
14392,30357,30756
14472,30419,30768
14552,30463,30796
14632,30551,30855
14712,30605,30824
14791,30176,30677
14871,30156,30687
14951,30180,30682
15031,30207,30678
15111,30211,30693
15191,30309,30740
15270,30404,30790
15350,30489,30819
15430,30548,30824
15510,30594,30852
15590,30674,30890
15670,30312,30676
15749,30205,30685
15829,30261,30714
15909,30369,30745
15989,30389,30747
16069,30469,30815
16149,30589,30856
16228,30659,30893
16308,30719,30923
16388,30741,30920
16468,30770,30896
16548,30320,30711
16628,30271,30717
16707,30325,30751
16787,30420,30793
16867,30436,30790
16947,30502,30817
17027,30597,30858
17107,30686,30895
17186,30727,30924
17266,30797,30960
17346,30530,30776
17426,30321,30711
17506,30344,30723
17586,30408,30769
17666,30433,30774
17745,30475,30805
17825,30576,30849
17905,30634,30841
17985,30664,30856
18065,30698,30894
18145,30703,30828
18224,30345,30737
18304,30377,30760
18384,30439,30768
18464,30494,30788
18544,30538,30831
18624,30647,30882
18703,30749,30942
18783,30854,30974
18863,30915,30990
18943,30951,30960
19023,30492,30775
19103,30493,30807
19182,30592,30868
19262,30703,30903
19342,30728,30901
19422,30768,30927
19502,30843,30967
19582,30936,31003
19661,31015,31049
19741,30659,30841
19821,30530,30819
19901,30589,30835
19981,30690,30889
20061,30754,30915
20140,30817,30965
20220,30934,31019
20300,31023,31048
20380,31053,31007
20460,30598,30806
20540,30578,30839
20619,30691,30892
20699,30799,30925
20779,30818,30943
20859,30893,30972
20939,30979,31009
21019,31053,31060
21099,30913,30913
21178,30578,30832
21258,30662,30877
21338,30776,30906
21418,30802,30904
21498,30834,30947
21578,30953,31007
21657,31052,31068
21737,31137,31097
21817,31191,31076
21897,30682,30826
21977,30633,30862
22057,30736,30915
22136,30848,30956
22216,30881,30972
22296,30959,31010
22376,31059,31050
22456,31129,31086
22536,31224,31134
22615,31289,31173
22695,31358,31156
22775,30873,30914
22855,30826,30931
22935,30915,30979
23015,30990,31022
23095,31014,31022
23174,31101,31088
23254,31212,31127
23334,31274,31130
23414,31284,31140
23494,31327,31182
23574,31077,30983
23653,30825,30948
23733,30939,30999
23813,31064,31033
23893,31069,31019
23973,31112,31065
24053,31224,31118
24132,31303,31162
24212,31366,31191
24292,31421,31203
24372,31289,31055
24452,30901,30943
24532,30977,31005
24611,31108,31059
24691,31153,31074
24771,31183,31089
24851,31264,31117
24931,31332,31152
25011,31376,31185
25090,31226,31051
25170,30934,30982
25250,31038,31038
25330,31166,31078
25410,31155,31058
25490,31185,31100
25570,31290,31148
25649,31365,31187
25729,31425,31203
25809,31447,31154
25889,30995,30948
25969,30958,30993
26049,31081,31048
26128,31169,31088
26208,31201,31106
26288,31280,31121
26368,31337,31148
26448,31395,31188
26528,31442,31212
26607,31186,31024
26687,30968,30989
26767,31066,31014
26847,31164,31060
26927,31172,31077
27007,31238,31118
27086,31335,31165
27166,31406,31202
27246,31451,31188
27326,31457,31194
27406,31138,31001
27486,30969,30981
27565,31072,31045
27645,31171,31079
27725,31184,31065
27805,31213,31074
27885,31300,31134
27965,31371,31169
28044,31420,31203
28124,31462,31221
28204,31281,31041
28284,30935,30947
28364,30989,30997
28444,31088,31032
28523,31087,31035
28603,31136,31070
28683,31216,31085
28763,31270,31103
28843,31314,31140
28923,31377,31161
29002,31284,31048
29082,30917,30950
29162,30962,30963
29242,31036,30991
29322,31042,31006
29402,31075,31031
29481,31173,31082
29561,31245,31103
29641,31286,31106
29721,31287,31103
29801,31181,30994
29881,30818,30891
29960,30840,30914
30040,30900,30943
30120,30911,30921
30200,30889,30901
30280,30949,30962
30360,31018,30980
30439,31069,31013
30519,31109,31033
30599,31175,31006
30679,30767,30817
30759,30696,30824
30839,30753,30864
30918,30814,30883
30998,30837,30907
31078,30890,30925
31158,30947,30948
31238,30978,30956
31318,31001,30971
31397,31052,31003
31477,30837,30852
31557,30657,30802
31637,30671,30807
31717,30725,30838
31797,30748,30847
31876,30800,30878
31956,30912,30937
32036,30976,30950
32116,31011,30957
32196,31056,30986
32276,31017,30892
32355,30646,30794
32435,30661,30808
32515,30708,30825
32595,30719,30814
32675,30731,30829
32755,30820,30865
32834,30900,30916
32914,30963,30959
32994,31063,30978
33074,31144,31004
33154,30685,30746
33234,30472,30638
33313,30120,31625
33393,30163,31067
33473,29448,30693
33553,29916,30805
33633,30258,30905
33713,30467,30953
33792,30631,31010
33872,30751,31040
33952,30600,30916
34032,30436,30862
34112,30510,30899
34192,30612,30928
34271,30671,30958
34351,30785,31000
34431,30920,31042
34511,30993,31023
34591,31011,31037
34671,31077,31055
34750,30828,30910
34830,30664,30878
34910,30722,30904
34990,30762,30928
