time,irvalue,redvalue
2025-03-02 00:34:16,29580,28899
2025-03-02 00:34:16,29582,28892
2025-03-02 00:34:16,29592,28895
2025-03-02 00:34:16,29579,28908
2025-03-02 00:34:16,29526,28904
2025-03-02 00:34:17,29534,28916
2025-03-02 00:34:17,29548,28929
2025-03-02 00:34:17,29554,28931
2025-03-02 00:34:17,29560,28924
2025-03-02 00:34:17,29568,28896
2025-03-02 00:34:17,29576,28899
2025-03-02 00:34:17,29580,28909
2025-03-02 00:34:17,29590,28918
2025-03-02 00:34:17,29595,28922
2025-03-02 00:34:17,29593,28924
2025-03-02 00:34:17,29602,28924
2025-03-02 00:34:17,29564,28910
2025-03-02 00:34:17,29566,28893
2025-03-02 00:34:17,29574,28883
2025-03-02 00:34:17,29575,28875
2025-03-02 00:34:18,29572,28895
2025-03-02 00:34:18,29581,28897
2025-03-02 00:34:18,29595,28901
2025-03-02 00:34:18,29580,28904
2025-03-02 00:34:18,29603,28908
2025-03-02 00:34:18,29608,28900
2025-03-02 00:34:18,29599,28892
2025-03-02 00:34:18,29589,28887
2025-03-02 00:34:18,29602,28887
2025-03-02 00:34:18,29555,28883
2025-03-02 00:34:18,29559,28891
2025-03-02 00:34:18,29576,28894
2025-03-02 00:34:18,29589,28910
2025-03-02 00:34:18,29595,28906
2025-03-02 00:34:19,29610,28897
2025-03-02 00:34:19,29604,28889
2025-03-02 00:34:19,29596,28881
2025-03-02 00:34:19,29600,28887
2025-03-02 00:34:19,29626,28893
2025-03-02 00:34:19,29615,28888
2025-03-02 00:34:19,29621,28898
2025-03-02 00:34:19,29630,28897
2025-03-02 00:34:19,29596,28882
2025-03-02 00:34:19,29586,28873
2025-03-02 00:34:19,29590,28860
2025-03-02 00:34:19,29588,28850
2025-03-02 00:34:19,29580,28865
2025-03-02 00:34:20,29605,28869
2025-03-02 00:34:20,29605,28882
2025-03-02 00:34:20,29602,28898
2025-03-02 00:34:20,29616,28900
2025-03-02 00:34:20,29623,28894
2025-03-02 00:34:20,29620,28877
2025-03-02 00:34:20,29617,28875
2025-03-02 00:34:20,29617,28858
2025-03-02 00:34:20,29589,28868
2025-03-02 00:34:20,29595,28867
2025-03-02 00:34:20,29591,28875
2025-03-02 00:34:20,29599,28884
2025-03-02 00:34:21,29605,28880
2025-03-02 00:34:21,29618,28878
2025-03-02 00:34:21,29621,28850
2025-03-02 00:34:21,29610,28847
2025-03-02 00:34:21,29634,28862
2025-03-02 00:34:21,29639,28864
2025-03-02 00:34:21,29627,28859
2025-03-02 00:34:21,29623,28875
2025-03-02 00:34:21,29611,28854
2025-03-02 00:34:21,29583,28854
2025-03-02 00:34:21,29592,28854
2025-03-02 00:34:21,29595,28845
2025-03-02 00:34:21,29591,28843
2025-03-02 00:34:22,29589,28855
2025-03-02 00:34:22,29610,28864
2025-03-02 00:34:22,29620,28870
2025-03-02 00:34:22,29619,28874
2025-03-02 00:34:22,29643,28874
2025-03-02 00:34:22,29632,28870
2025-03-02 00:34:22,29637,28866
2025-03-02 00:34:22,29640,28856
2025-03-02 00:34:22,29613,28836
2025-03-02 00:34:22,29573,28846
2025-03-02 00:34:22,29607,28856
2025-03-02 00:34:22,29609,28847
2025-03-02 00:34:23,29612,28860
2025-03-02 00:34:23,29612,28856
2025-03-02 00:34:23,29621,28859
2025-03-02 00:34:23,29622,28836
2025-03-02 00:34:23,29612,28830
2025-03-02 00:34:23,29614,28831
2025-03-02 00:34:23,29620,28848
2025-03-02 00:34:23,29627,28863
2025-03-02 00:34:23,29630,28854
2025-03-02 00:34:23,29607,28855
2025-03-02 00:34:23,29584,28850
2025-03-02 00:34:23,29610,28842
2025-03-02 00:34:24,29614,28830
2025-03-02 00:34:24,29602,28821
2025-03-02 00:34:24,29602,28837
2025-03-02 00:34:24,29613,28845
2025-03-02 00:34:24,29634,28850
2025-03-02 00:34:24,29624,28850
2025-03-02 00:34:24,29645,28860
2025-03-02 00:34:24,29643,28860
2025-03-02 00:34:24,29652,28842
2025-03-02 00:34:24,29637,28811
2025-03-02 00:34:24,29578,28796
2025-03-02 00:34:24,29577,28818
2025-03-02 00:34:24,29596,28821
2025-03-02 00:34:25,29599,28834
2025-03-02 00:34:25,29609,28844
2025-03-02 00:34:25,29620,28850
2025-03-02 00:34:25,29624,28852
2025-03-02 00:34:25,29625,28834
2025-03-02 00:34:25,29637,28833
2025-03-02 00:34:25,29634,28824
2025-03-02 00:34:25,29646,28843
2025-03-02 00:34:25,29646,28840
2025-03-02 00:34:25,29650,28843
2025-03-02 00:34:25,29594,28831
2025-03-02 00:34:25,29602,28842
2025-03-02 00:34:26,29616,28826
2025-03-02 00:34:26,29619,28804
2025-03-02 00:34:26,29607,28801
2025-03-02 00:34:26,29630,28815
2025-03-02 00:34:26,29641,28822
2025-03-02 00:34:26,29640,28820
2025-03-02 00:34:26,29635,28822
2025-03-02 00:34:26,29649,28828
2025-03-02 00:34:26,29650,28839
2025-03-02 00:34:26,29648,28830
2025-03-02 00:34:26,29650,28827
2025-03-02 00:34:26,29628,28809
2025-03-02 00:34:26,29560,28806
2025-03-02 00:34:27,29596,28807
2025-03-02 00:34:27,29598,28821
2025-03-02 00:34:27,29618,28836
2025-03-02 00:34:27,29627,28828
2025-03-02 00:34:27,29626,28832
2025-03-02 00:34:27,29634,28811
2025-03-02 00:34:27,29625,28810
2025-03-02 00:34:27,29642,28804
2025-03-02 00:34:27,29650,28822
2025-03-02 00:34:27,29645,28822
2025-03-02 00:34:27,29660,28821
2025-03-02 00:34:27,29665,28822
2025-03-02 00:34:27,29644,28818
2025-03-02 00:34:28,29597,28797
2025-03-02 00:34:28,29604,28775
2025-03-02 00:34:28,29586,28776
2025-03-02 00:34:28,29591,28801
2025-03-02 00:34:28,29597,28813
2025-03-02 00:34:28,29612,28811
2025-03-02 00:34:28,29619,28817
2025-03-02 00:34:28,29635,28825
2025-03-02 00:34:28,29640,28817
2025-03-02 00:34:28,29655,28809
2025-03-02 00:34:28,29642,28799
2025-03-02 00:34:28,29642,28791
2025-03-02 00:34:29,29650,28816
2025-03-02 00:34:29,29589,28791
2025-03-02 00:34:29,29597,28796
2025-03-02 00:34:29,29611,28804
2025-03-02 00:34:29,29625,28821
2025-03-02 00:34:29,29633,28798
2025-03-02 00:34:29,29627,28778
2025-03-02 00:34:29,29626,28786
2025-03-02 00:34:29,29627,28796
2025-03-02 00:34:29,29646,28793
2025-03-02 00:34:29,29653,28800
2025-03-02 00:34:29,29661,28823
2025-03-02 00:34:29,29668,28835
2025-03-02 00:34:30,29674,28825
2025-03-02 00:34:30,29668,28807
2025-03-02 00:34:30,29595,28784
2025-03-02 00:34:30,29603,28788
2025-03-02 00:34:30,29624,28798
2025-03-02 00:34:30,29639,28798
2025-03-02 00:34:30,29638,28810
2025-03-02 00:34:30,29648,28808
2025-03-02 00:34:30,29657,28819
2025-03-02 00:34:30,29657,28805
2025-03-02 00:34:30,29665,28790
2025-03-02 00:34:30,29666,28786
2025-03-02 00:34:31,29674,28812
2025-03-02 00:34:31,29680,28799
2025-03-02 00:34:31,29679,28808
2025-03-02 00:34:31,29692,28815
2025-03-02 00:34:31,29643,28791
2025-03-02 00:34:31,29628,28775
2025-03-02 00:34:31,29628,28767
2025-03-02 00:34:31,29633,28774
2025-03-02 00:34:31,29624,28790
2025-03-02 00:34:31,29638,28805
2025-03-02 00:34:31,29651,28801
2025-03-02 00:34:31,29671,28814
2025-03-02 00:34:31,29669,28819
2025-03-02 00:34:32,29684,28809
2025-03-02 00:34:32,29684,28788
2025-03-02 00:34:32,29670,28787
2025-03-02 00:34:32,29694,28799
