timestamp,ir,red,time_delta
25,113711,105607,0.0
50,113802,105659,0.025
75,113898,105693,0.05
100,113933,105696,0.075
125,113903,105680,0.1
150,113871,105670,0.125
175,113877,105662,0.15
200,113890,105660,0.175
225,113979,105692,0.2
250,114050,105700,0.225
275,114100,105733,0.25
300,114197,105771,0.275
325,114328,105809,0.3
350,114373,105828,0.325
375,114422,105827,0.35
400,114457,105854,0.375
425,114503,105871,0.4
450,114504,105869,0.425
475,114524,105883,0.45
500,114546,105889,0.475
525,114568,105886,0.5
550,114597,105910,0.525
575,114610,105932,0.55
600,114634,105912,0.575
625,114672,105934,0.6
650,114698,105941,0.625
675,114710,105952,0.65
700,114741,105953,0.675
725,114767,105933,0.7
750,114705,105864,0.725
775,114462,105720,0.75
800,114081,105577,0.775
825,113437,105372,0.8
850,113453,105409,0.825
875,113559,105457,0.85
900,113669,105509,0.875
925,113888,105601,0.9
950,113964,105614,0.925
975,114019,105642,0.95
1000,114108,105679,0.975
1025,114222,105716,1.0
1050,114243,105740,1.025
1075,114252,105725,1.05
1100,114239,105696,1.075
1125,114213,105722,1.1
1150,114221,105722,1.125
1175,114240,105722,1.15
1200,114264,105722,1.175
1225,114352,105762,1.2
1250,114384,105775,1.225
1275,114422,105799,1.25
1300,114458,105804,1.275
1325,114529,105817,1.3
1350,114527,105814,1.325
1375,114547,105833,1.35
1400,114561,105843,1.375
1425,114553,105851,1.4
1450,114594,105855,1.425
1475,114618,105853,1.45
1500,114628,105868,1.475
1525,114638,105894,1.5
1550,114681,105899,1.525
1575,114692,105901,1.55
1600,114716,105909,1.575
1625,114757,105928,1.6
1650,114751,105937,1.625
1675,114732,105910,1.65
1700,114618,105803,1.675
1725,113906,105527,1.7
1750,113553,105422,1.725
1775,113453,105398,1.75
1800,113595,105473,1.775
1825,113689,105520,1.8
1850,113794,105549,1.825
1875,113888,105601,1.85
1900,114009,105657,1.875
1925,114102,105687,1.9
1950,114172,105707,1.925
1975,114218,105719,1.95
2000,114227,105725,1.975
2025,114209,105716,2.0
2050,114208,105725,2.025
2075,114208,105726,2.05
2100,114306,105769,2.075
2125,114363,105800,2.1
2150,114386,105812,2.125
2175,114406,105817,2.15
2200,114482,105849,2.175
2225,114518,105842,2.2
2250,114522,105837,2.225
2275,114517,105835,2.25
2300,114562,105831,2.275
2325,114575,105844,2.3
2350,114581,105836,2.325
2375,114593,105848,2.35
2400,114607,105856,2.375
2425,114625,105853,2.4
2450,114637,105869,2.425
2475,114641,105867,2.45
2500,114666,105870,2.475
2525,114672,105871,2.5
2550,114612,105805,2.525
2575,114390,105690,2.55
2600,113680,105433,2.575
2625,113406,105363,2.6
2650,113347,105359,2.625
2675,113402,105383,2.65
2700,113583,105461,2.675
2725,113676,105495,2.7
2750,113738,105519,2.725
2775,113812,105552,2.75
2800,113933,105565,2.775
2825,113947,105570,2.8
2850,113952,105582,2.825
2875,113943,105555,2.85
2900,113900,105520,2.875
2925,113890,105524,2.9
2950,113905,105540,2.925
2975,113947,105551,2.95
3000,114022,105593,2.975
3025,114096,105627,3.0
3050,114169,105655,3.025
3075,114224,105662,3.05
3100,114279,105680,3.075
3125,114284,105693,3.1
3150,114310,105702,3.125
3175,114344,105698,3.15
3200,114372,105708,3.175
3225,114371,105720,3.2
3250,114384,105713,3.225
3275,114414,105716,3.25
3300,114480,105726,3.275
3325,114500,105746,3.3
3350,114547,105759,3.325
3375,114558,105771,3.35
3400,114369,105619,3.375
3425,113981,105438,3.4
3450,113448,105231,3.425
3475,113029,105127,3.45
3500,112839,105127,3.475
3525,112978,105169,3.5
3550,113107,105210,3.525
3575,113220,105251,3.55
3600,113393,105349,3.575
3625,113489,105397,3.6
3650,113588,105402,3.625
3675,113650,105415,3.65
3700,113620,105401,3.675
3725,113566,105380,3.7
3750,113526,105364,3.725
3775,113539,105377,3.75
3800,113632,105409,3.775
3825,113696,105434,3.8
3850,113772,105460,3.825
3875,113848,105494,3.85
3900,113981,105511,3.875
3925,114014,105548,3.9
3950,114054,105560,3.925
3975,114120,105587,3.95
4000,114162,105617,3.975
4025,114238,105623,4.0
4050,114269,105635,4.025
4075,114284,105647,4.05
4100,114318,105670,4.075
4125,114352,105671,4.1
4150,114364,105666,4.125
4175,114322,105623,4.15
4200,113722,105339,4.175
4225,113250,105175,4.2
4250,112992,105112,4.225
4275,112912,105084,4.25
4300,113055,105156,4.275
4325,113165,105195,4.3
4350,113260,105224,4.325
4375,113333,105243,4.35
4400,113429,105300,4.375
4425,113529,105343,4.4
4450,113614,105363,4.425
4475,113650,105370,4.45
4500,113643,105368,4.475
4525,113625,105376,4.5
4550,113626,105367,4.525
4575,113646,105375,4.55
4600,113691,105392,4.575
4625,113754,105419,4.6
4650,113815,105428,4.625
4675,113944,105496,4.65
4700,113996,105522,4.675
4725,114058,105546,4.7
4750,114115,105542,4.725
4775,114159,105539,4.75
4800,114170,105533,4.775
4825,114168,105541,4.8
4850,114172,105546,4.825
4875,114221,105559,4.85
4900,114275,105579,4.875
4925,114321,105595,4.9
4950,114325,105617,4.925
4975,114150,105458,4.95
5000,113752,105262,4.975
5025,113190,105063,5.0
5050,112773,104958,5.025
5075,112611,104973,5.05
5100,112753,105028,5.075
5125,112923,105097,5.1
5150,113068,105133,5.125
5175,113237,105210,5.15
5200,113369,105261,5.175
5225,113499,105301,5.2
5250,113587,105306,5.225
5275,113613,105294,5.25
5300,113578,105275,5.275
5325,113550,105273,5.3
5350,113533,105275,5.325
5375,113631,105309,5.35
5400,113713,105337,5.375
5425,113786,105367,5.4
5450,113842,105416,5.425
5475,113988,105471,5.45
5500,114030,105480,5.475
5525,114081,105491,5.5
5550,114109,105513,5.525
5575,114211,105539,5.55
5600,114249,105558,5.575
5625,114273,105581,5.6
5650,114309,105587,5.625
5675,114387,105624,5.65
5700,114416,105625,5.675
5725,114430,105625,5.7
5750,114463,105615,5.725
5775,114478,105598,5.75
5800,114321,105476,5.775
5825,113964,105332,5.8
5850,113566,105164,5.825
5875,113063,105050,5.85
5900,113106,105072,5.875
5925,113219,105129,5.9
5950,113329,105171,5.925
5975,113440,105196,5.95
6000,113499,105233,5.975
6025,113603,105269,6.0
6050,113701,105306,6.025
6075,113852,105360,6.05
6100,113890,105379,6.075
6125,113919,105366,6.1
6150,113908,105344,6.125
6175,113892,105384,6.15
6200,113930,105402,6.175
6225,113985,105406,6.2
6250,114034,105416,6.225
6275,114134,105455,6.25
6300,114163,105470,6.275
6325,114225,105471,6.3
6350,114251,105511,6.325
6375,114343,105495,6.35
6400,114355,105510,6.375
6425,114386,105526,6.4
6450,114391,105546,6.425
6475,114385,105540,6.45
6500,114411,105539,6.475
6525,114448,105548,6.5
6550,114471,105563,6.525
6575,114508,105578,6.55
6600,114556,105597,6.575
6625,114567,105612,6.6
6650,114557,105471,6.625
6675,114017,105318,6.65
6700,113630,105178,6.675
6725,113272,105062,6.7
6750,113135,105043,6.725
6775,113287,105127,6.75
6800,113384,105154,6.775
6825,113472,105171,6.8
6850,113603,105223,6.825
6875,113698,105265,6.85
6900,113806,105295,6.875
6925,113863,105323,6.9
6950,113888,105322,6.925
6975,113899,105329,6.95
7000,113916,105308,6.975
7025,113922,105329,7.0
7050,113980,105356,7.025
7075,114038,105375,7.05
7100,114111,105408,7.075
7125,114162,105443,7.1
7150,114273,105472,7.125
