timestamp,ir,red,time_delta
25,114297,107956,0.0
50,114356,107978,0.025
75,114425,108015,0.05
100,114472,108014,0.075
125,114530,108017,0.1
150,114524,107996,0.125
175,114535,107963,0.15
200,114528,107949,0.175
225,114181,107643,0.2
250,113601,107375,0.225
275,112757,107039,0.25
300,111845,106779,0.275
325,111464,106742,0.3
350,111551,106761,0.325
375,111577,106708,0.35
400,111530,106531,0.375
425,110957,105918,0.4
450,110711,105725,0.425
475,110463,105543,0.45
500,110180,105371,0.475
525,109996,105270,0.5
550,109986,105247,0.525
575,110003,105284,0.55
600,110121,105363,0.575
625,110456,105569,0.6
650,110712,105696,0.625
675,110910,105703,0.65
700,110732,105575,0.675
725,109859,105286,0.7
750,109593,105257,0.725
775,109559,105306,0.75
800,109826,105462,0.775
825,111223,106067,0.8
850,111914,106297,0.825
875,112354,106422,0.85
900,112593,106485,0.875
925,112721,106480,0.9
950,112643,106439,0.925
975,112560,106401,0.95
1000,112449,106359,0.975
1025,112344,106291,1.0
1050,112336,106315,1.025
1075,112417,106335,1.05
1100,112381,106241,1.075
1125,111102,105655,1.1
1150,110451,105478,1.125
1175,110151,105445,1.15
1200,110246,105548,1.175
1225,111122,105921,1.2
1250,111628,106121,1.225
1275,112100,106262,1.25
1300,112452,106368,1.275
1325,112747,106432,1.3
1350,112756,106428,1.325
1375,112740,106406,1.35
1400,112770,106425,1.375
1425,112971,106514,1.4
1450,113139,106572,1.425
1475,113306,106631,1.45
1500,113433,106675,1.475
1525,113597,106708,1.5
1550,113503,106622,1.525
1575,113290,106495,1.55
1600,113073,106436,1.575
1625,113191,106535,1.6
1650,113406,106619,1.625
1675,113583,106683,1.65
1700,113704,106745,1.675
1725,113824,106804,1.7
1750,113888,106812,1.725
1775,113928,106816,1.75
1800,113932,106809,1.775
1825,113932,106806,1.8
1850,113965,106818,1.825
1875,113995,106832,1.85
1900,114014,106836,1.875
1925,114056,106842,1.9
1950,114053,106841,1.925
1975,114086,106858,1.95
2000,114100,106824,1.975
2025,113882,106694,2.0
2050,113813,106659,2.025
2075,113801,106672,2.05
2100,113902,106706,2.075
2125,113967,106726,2.1
2150,114030,106769,2.125
2175,114064,106793,2.15
2200,114125,106799,2.175
2225,114109,106790,2.2
2250,114139,106791,2.225
2275,114158,106792,2.25
2300,114209,106799,2.275
2325,114231,106810,2.3
2350,114250,106815,2.325
2375,114271,106815,2.35
2400,114315,106834,2.375
2425,114307,106799,2.4
2450,114215,106741,2.425
2475,114103,106690,2.45
2500,114148,106732,2.475
2525,114226,106769,2.5
2550,114294,106801,2.525
2575,114351,106821,2.55
2600,114406,106828,2.575
2625,114414,106824,2.6
2650,114428,106814,2.625
2675,114423,106842,2.65
2700,114402,106812,2.675
2725,114427,106820,2.7
2750,114453,106841,2.725
2775,114461,106855,2.75
2800,114503,106883,2.775
2825,114521,106869,2.8
2850,114526,106870,2.825
2875,114499,106821,2.85
2900,114317,106743,2.875
2925,114311,106769,2.9
2950,114382,106789,2.925
2975,114465,106820,2.95
3000,114561,106869,2.975
3025,114592,106881,3.0
3050,114600,106884,3.025
3075,114622,106880,3.05
3100,114654,106893,3.075
3125,114654,106860,3.1
3150,114662,106862,3.125
3175,114670,106885,3.15
3200,114651,106870,3.175
3225,114583,106863,3.2
3250,114512,106865,3.225
3275,114516,106891,3.25
3300,114513,106891,3.275
3325,114507,106863,3.3
3350,114449,106824,3.325
3375,114418,106813,3.35
3400,114434,106833,3.375
3425,114472,106848,3.4
3450,114485,106882,3.425
3475,114501,106871,3.45
3500,114548,106894,3.475
3525,114548,106908,3.5
3550,114558,106895,3.525
3575,114577,106902,3.55
3600,114605,106912,3.575
3625,114606,106903,3.6
3650,114606,106917,3.625
3675,114615,106918,3.65
3700,114635,106940,3.675
3725,114661,106928,3.7
3750,114668,106928,3.725
3775,114645,106882,3.75
3800,114522,106842,3.775
3825,114535,106864,3.8
3850,114574,106870,3.825
3875,114608,106860,3.85
3900,114658,106899,3.875
3925,114654,106898,3.9
3950,114676,106890,3.925
3975,114668,106885,3.95
4000,114664,106903,3.975
4025,114669,106896,4.0
4050,114649,106890,4.025
4075,114660,106890,4.05
4100,114672,106892,4.075
4125,114673,106892,4.1
4150,114664,106884,4.125
4175,114679,106906,4.15
4200,114590,106778,4.175
4225,114455,106728,4.2
4250,114404,106732,4.225
4275,114429,106753,4.25
4300,114531,106785,4.275
4325,114579,106830,4.3
4350,114643,106856,4.325
4375,114680,106871,4.35
4400,114694,106866,4.375
