timestamp,ir,red,time_delta
25,104351,100234,0.0
50,104494,100316,0.025
75,104621,100374,0.05
100,105016,100547,0.075
125,105178,100617,0.1
150,105317,100666,0.125
175,105387,100673,0.15
200,105411,100683,0.175
225,105501,100729,0.2
250,105617,100827,0.225
275,106031,101031,0.25
300,106294,101141,0.275
325,106543,101241,0.3
350,106647,101203,0.325
375,105637,100626,0.35
400,105166,100452,0.375
425,104943,100390,0.4
450,104843,100352,0.425
475,104877,100419,0.45
500,104976,100470,0.475
525,105063,100504,0.5
550,105126,100542,0.525
575,105361,100683,0.55
600,105539,100762,0.575
625,105726,100842,0.6
650,105917,100920,0.625
675,106081,100890,0.65
700,106062,100924,0.675
725,106210,101034,0.7
750,106545,101214,0.725
775,107068,101382,0.75
800,107067,101344,0.775
825,106894,101224,0.8
850,106586,101091,0.825
875,105763,100629,0.85
900,105197,100407,0.875
925,104818,100250,0.9
950,104518,100137,0.925
975,104163,100042,0.95
1000,104147,100060,0.975
1025,104179,100096,1.0
1050,104237,100138,1.025
1075,104534,100315,1.05
1100,104851,100490,1.075
1125,105260,100704,1.1
1150,105655,100848,1.125
1175,106011,100937,1.15
1200,105913,100842,1.175
1225,105794,100797,1.2
1250,105769,100810,1.225
1275,106192,101089,1.25
1300,106703,101346,1.275
1325,107299,101590,1.3
1350,107673,101720,1.325
1375,107882,101734,1.35
1400,107791,101660,1.375
1425,107546,101461,1.4
1450,106816,101069,1.425
1475,105764,100736,1.45
1500,105682,100728,1.475
1525,105679,100737,1.5
1550,105669,100738,1.525
1575,105856,100884,1.55
1600,106100,101010,1.575
1625,106404,101178,1.6
1650,106872,101400,1.625
1675,107521,101539,1.65
1700,107311,101420,1.675
1725,107062,101344,1.7
1750,107025,101380,1.725
1775,107536,101644,1.75
1800,107756,101723,1.775
1825,107893,101776,1.8
1850,107907,101726,1.825
1875,107251,101374,1.85
1900,106937,101255,1.875
1925,106758,101186,1.9
1950,106611,101120,1.925
1975,105912,100777,1.95
2000,105538,100609,1.975
2025,105250,100470,2.0
2050,105009,100365,2.025
2075,104833,100382,2.05
2100,105002,100509,2.075
2125,105245,100634,2.1
2150,105559,100777,2.125
2175,106020,100980,2.15
2200,106113,100993,2.175
2225,106200,101046,2.2
2250,106421,101172,2.225
2275,107487,101705,2.25
2300,107959,101871,2.275
2325,108233,101957,2.3
2350,108356,101975,2.325
2375,108143,101796,2.35
2400,107855,101645,2.375
2425,107545,101529,2.4
2450,107321,101481,2.425
2475,107229,101409,2.45
2500,106938,101162,2.475
2525,106345,100911,2.5
2550,105874,100742,2.525
2575,105475,100656,2.55
2600,105524,100700,2.575
2625,105632,100764,2.6
2650,105799,100863,2.625
2675,106224,101056,2.65
2700,106363,101069,2.675
2725,106387,101076,2.7
2750,106469,101153,2.725
2775,107471,101698,2.75
2800,108123,101942,2.775
2825,108461,102018,2.8
2850,108438,101953,2.825
2875,107745,101549,2.85
2900,107137,101293,2.875
2925,106720,101159,2.9
2950,106524,101096,2.925
2975,106525,101136,2.95
3000,106654,101184,2.975
3025,106651,101088,3.0
3050,105720,100622,3.025
3075,105447,100527,3.05
3100,105338,100538,3.075
3125,105420,100631,3.1
3150,105943,100934,3.125
3175,106352,101108,3.15
3200,106681,101246,3.175
3225,106852,101296,3.2
3250,107300,101550,3.225
3275,107640,101693,3.25
3300,108085,101952,3.275
3325,108710,102209,3.3
3350,109600,102500,3.325
3375,109663,102509,3.35
3400,109636,102473,3.375
3425,109470,102359,3.4
3450,108718,102001,3.425
3475,108344,101857,3.45
3500,108084,101742,3.475
